location_id,AddressNumber,StreetNamePreDirectional,StreetNamePreType,StreetName,StreetNamePostType,StreetNamePostDirectional,county,address_1,address_2,city,state,zip,state_abbr,location_source_value,latitude,longitude,geometry,Nominatim_address
42173,4200,,,School,Drive,,Jefferson County,4200 School Dr,,Pinson,Alabama,35126,AL,"4200 SCHOOL DR, PINSON, AL 35126",33.69320083717471,-86.6850921661158,POINT (-86.68509216611579 33.69320083717471),"4200,  School Drive , Pinson, Jefferson County, Alabama, 35126, United States"
37033,901,,,Buena Vista,Drive,,Houston County,901 Buena Vista Dr,,Dothan,Alabama,36303,AL,"901 BUENA VISTA DR, DOTHAN, AL 36303",31.24396099029108,-85.44904937774623,POINT (-85.44904937774623 31.24396099029108),"901,  Buena Vista Drive , Dothan, Houston County, Alabama, 36303, United States"
42935,1801,,,South,Street,,Hale County,1801 South Street,,Greensboro,Alabama,36744,AL,"1801 SOUTH STREET, GREENSBORO, AL 36744",32.70808853324611,-87.58777699501616,POINT (-87.58777699501616 32.70808853324611),"1801,  South Street , Greensboro, Hale County, Alabama, 36744, United States"
42963,1110,,,Prospect,Road,,Walker County,1110 Prospect Rd,,Nauvoo,Alabama,35578,AL,"1110 PROSPECT RD, NAUVOO, AL 35578",33.9259930572988,-87.41249720294242,POINT (-87.41249720294242 33.9259930572988),"1110,  Prospect Road , Nauvoo, Walker County, Alabama, 35578, United States"
37079,120,,,Greene,Street,Southeast,Madison County,120 Greene St Se,,Huntsville,Alabama,35801,AL,"120 GREENE ST SE, HUNTSVILLE, AL 35801",34.73183607129914,-86.58446206064036,POINT (-86.58446206064036 34.73183607129914),"120,  Greene Street Southeast, Huntsville, Madison County, Alabama, 35801, United States"
16651,4925,,,University,Drive,,Madison County,4925 University Drive,SUITE 134,Huntsville,Alabama,35816,AL,"4925 UNIVERSITY DRIVE, SUITE 134, HUNTSVILLE, AL 35816",34.73626230600007,-86.65620969599996,POINT (-86.65620969599996 34.73626230600007),"4925,  University Drive , Huntsville, Madison County, Alabama, 35816, United States"
36592,140,,,Lambert,Drive,,Cleburne County,140 Lambert Dr,,Heflin,Alabama,36264,AL,"140 LAMBERT DR, HEFLIN, AL 36264",33.65825085811336,-85.56926975878355,POINT (-85.56926975878355 33.65825085811336),"140,  Lambert Drive , Heflin, Cleburne County, Alabama, 36264, United States"
35478,569,West,,Main,Street,,Independence County,569 W Main St,,Batesville,Arkansas,72501,AR,"569 W MAIN ST, BATESVILLE, AR 72501",35.76621564078362,-91.6597924971412,POINT (-91.6597924971412 35.76621564078362),"569,West  Main Street , Batesville, Independence County, Arkansas, 72501, United States"
26215,7301,,,Rogers,Avenue,,Sebastian County,7301 Rogers Avenue,4TH FLOOR,Fort Smith,Arkansas,72903,AR,"7301 ROGERS AVENUE, 4TH FLOOR, FORT SMITH, AR 72903",35.35586935,-94.35252746,POINT (-94.35252746 35.35586935),"7301,  Rogers Avenue , Fort Smith, Sebastian County, Arkansas, 72903, United States"
26202,11401,,Interstate,30,,,Pulaski County,11401 Interstate 30,,Little Rock,Arkansas,72209,AR,"11401 INTERSTATE 30, LITTLE ROCK, AR 72209",34.6573267200001,-92.40274425,POINT (-92.40274425 34.6573267200001),"11401, Interstate 30  , Little Rock, Pulaski County, Arkansas, 72209, United States"
35313,305,East,,5th,Street,,Miller County,305 East 5Th Street,,Texarkana,Arkansas,71854,AR,"305 EAST 5TH STREET, TEXARKANA, AR 71854",33.426152233330235,-94.04112853629498,POINT (-94.04112853629498 33.42615223333024),"305,East  5th Street , Texarkana, Miller County, Arkansas, 71854, United States"
35483,106,South,,Charlotte,Street,,Dallas County,106 S Charlotte Street,,Fordyce,Arkansas,71742,AR,"106 S CHARLOTTE STREET, FORDYCE, AR 71742",33.81320935206084,-92.40571307112666,POINT (-92.40571307112666 33.81320935206084),"106,South  Charlotte Street , Fordyce, Dallas County, Arkansas, 71742, United States"
37274,583,West,,Grand,Avenue,,Garland County,583 W Grand Ave,,Hot Springs,Arkansas,71901,AR,"583 W GRAND AVE, HOT SPRINGS, AR 71901",34.501894006012755,-93.06120157824122,POINT (-93.06120157824122 34.50189400601275),"583,West  Grand Avenue , Hot Springs, Garland County, Arkansas, 71901, United States"
37280,3107,,,Trinity,Boulevard,,Miller County,3107 Trinity Blvd,,Texarkana,Arkansas,71854,AR,"3107 TRINITY BLVD, TEXARKANA, AR 71854",33.478894604693856,-94.00887822361784,POINT (-94.00887822361784 33.47889460469386),"3107,  Trinity Boulevard , Texarkana, Miller County, Arkansas, 71854, United States"
17376,2320,,,Washington,Avenue,,Faulkner County,2320 Washington Avenue,,Conway,Arkansas,72032,AR,"2320 WASHINGTON AVENUE, CONWAY, AR 72032",35.10913382200005,-92.44599048499995,POINT (-92.44599048499995 35.10913382200005),"2320,  Washington Avenue , Conway, Faulkner County, Arkansas, 72032, United States"
19367,302,East,,Main,,,Calhoun County,302 E Main,,Hampton,Arkansas,71744,AR,"302 E Main, Hampton, Arkansas 71744",33.537851,-92.466015,POINT (-92.466015 33.537851),"302,East  Main  , Hampton, Calhoun County, Arkansas, 71744, United States"
43223,501,West,,Elgin,,,Benton County,501 W Elgin,,Siloam Springs,Arkansas,72761,AR,"501 W ELGIN, SILOAM SPRINGS, AR 72761",36.190422199118,-94.54587232477672,POINT (-94.54587232477672 36.190422199118),"501,West  Elgin  , Siloam Springs, Benton County, Arkansas, 72761, United States"
6051,102,South,,Willard,Street,,Yavapai County,102 S Willard St,,Cottonwood,Arizona,86326,AZ,"102 S WILLARD ST, COTTONWOOD, AZ 86326",34.737691000356875,-112.02737499993616,POINT (-112.0273749999362 34.73769100035688),"102,South  Willard Street , Cottonwood, Yavapai County, Arizona, 86326, United States"
