Full_Address,Place_type,source_centroid,source_lon,source_lat
"22023 Main Street, Hyden, Kentucky 41749",FDIC_Insured_Banks,POINT (-83.37416399999999 37.1621730000001),-83.374164,37.162173
"222 Delaware Avenue, Wilmington, Delaware 19899",FDIC_Insured_Banks,POINT (-84.77411599999991 37.6452540000001),-84.774116,37.645254
"218 W. Main Street, Auburn, Kentucky 42206",FDIC_Insured_Banks,POINT (-86.7114009999999 36.8628070000001),-86.711401,36.862807
"2500 Eastpoint Parkway, Louisville, Kentucky 40223",FDIC_Insured_Banks,POINT (-85.9273169999999 37.0025560000001),-85.927317,37.002556
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-86.5783009999999 36.722113),-86.578301,36.722113
"221 West Fifth Street, Benton, Kentucky 42025",FDIC_Insured_Banks,POINT (-88.3593709999999 36.8667540000001),-88.359371,36.866754
"215 Mountain Parkway Spur, Campton, Kentucky 41301",FDIC_Insured_Banks,POINT (-83.5552269999999 37.7335320000001),-83.555227,37.733532
"1362 Hindman Bypass, Hindman, Kentucky 41822",FDIC_Insured_Banks,POINT (-82.8811509999999 37.4514770000001),-82.881151,37.451477
"123 Main Street N, Mc Kee, Kentucky 40447",FDIC_Insured_Banks,POINT (-84.0013339999999 37.430326),-84.001334,37.430326
"50 North Main, Monticello, Kentucky 42633",FDIC_Insured_Banks,POINT (-84.8488049999999 36.8298230000001),-84.848805,36.829823
"346 North Mayo Trail, Pikeville, Kentucky 41501",FDIC_Insured_Banks,POINT (-84.08827699999991 37.1083760000001),-84.088277,37.108376
"346 North Mayo Trail, Pikeville, Kentucky 41501",FDIC_Insured_Banks,POINT (-84.73032599999991 38.0532250000001),-84.730326,38.053225
"109 N Main Street, Brownsville, Kentucky 42210",FDIC_Insured_Banks,POINT (-86.2652269999999 37.1909360000001),-86.265227,37.190936
"287 North Main St, Lewisburg, Kentucky 42256",FDIC_Insured_Banks,POINT (-86.9554559999999 36.9882240000001),-86.955456,36.988224
"Fourth And Main Streets, Paris, Kentucky 40361",FDIC_Insured_Banks,POINT (-84.24997399999999 38.212182),-84.249974,38.212182
"47 South Main Street, Whitley City, Kentucky 42653",FDIC_Insured_Banks,POINT (-84.83610299999989 38.535578),-84.836103,38.535578
"220 East Clay Street, Clinton, Kentucky 42031",FDIC_Insured_Banks,POINT (-88.99287799999991 36.6670290000001),-88.992878,36.667029
"830 South Main Street, Hartford, Kentucky 42347",FDIC_Insured_Banks,POINT (-86.7167959999999 37.635609),-86.716796,37.635609
"4743 Main Street, Zachary, Louisiana 70791",FDIC_Insured_Banks,POINT (-91.1543429999999 30.6482760000001),-91.154343,30.648276
"12225 St. Helena Street, Clinton, Louisiana 70722",FDIC_Insured_Banks,POINT (-91.0186129999999 30.865684),-91.018613,30.865684
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-90.9206099999999 30.225891),-90.92061,30.225891
"7244 Perkins Road, Baton Rouge, Louisiana 70808",FDIC_Insured_Banks,POINT (-91.2165169999999 30.8362710000001),-91.216517,30.836271
"500 Laurel Street, Baton Rouge, Louisiana 70801",FDIC_Insured_Banks,POINT (-91.0558639999999 30.412853),-91.055864,30.412853
"102 Davenport Avenue, Mer Rouge, Louisiana 71261",FDIC_Insured_Banks,POINT (-91.7928099999999 32.7756570000001),-91.79281,32.775657
"1 Hancock Plaza, Gulfport, Mississippi 39501",FDIC_Insured_Banks,POINT (-90.1551289999999 30.8449360000001),-90.155129,30.844936
"209 Troy Street, Tupelo, Mississippi 38801",FDIC_Insured_Banks,POINT (-89.8528409999999 33.0751690000001),-89.852841,33.075169
"316 Court Square, Lexington, Mississippi 39095",FDIC_Insured_Banks,POINT (-90.0521869999999 33.1129080000001),-90.052187,33.112908
"521 Main Street, Philadelphia, Mississippi 39350",FDIC_Insured_Banks,POINT (-89.3410039999999 32.5681910000001),-89.341004,32.568191
"202 Jackson Street, Belzoni, Mississippi 39038",FDIC_Insured_Banks,POINT (-90.21895599999991 33.1801600000001),-90.218956,33.18016
"814 Main Street, Columbia, Mississippi 39429",FDIC_Insured_Banks,POINT (-89.8352559999999 31.25343),-89.835256,31.25343
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-89.51910599999989 34.3660340000001),-89.519106,34.366034
"308 Raymond Square, Raymond, Mississippi 39154",FDIC_Insured_Banks,POINT (-90.4228589999999 32.2598540000001),-90.422859,32.259854
"601 Main Street, Arkadelphia, Arkansas 71923",FDIC_Insured_Banks,POINT (-90.55205099999991 33.7261790000001),-90.552051,33.726179
